row_index,student_id,name,department,severity,issues,tuition_paid,gpa,enrollment_date,advisor
388,S00015,Jennifer Williams,NULL,Warning,Missing department,20668.45,2.39,2020-01-15,F054
406,S00470,William Jones,NULL,Warning,Missing department,7984.76,1.91,2021-04-14,F034
417,S00260,Mary Martinez,NULL,Warning,Missing department,15303.5,1.85,2020-09-16,F085
424,S00050,Linda Jones,NULL,Warning,Missing department,24215.61,2.47,2020-02-19,F092
428,S00035,Michael Miller,History,Warning,GPA out of range (0-4.5): 5.2,13673.11,5.2,2020-02-04,F077
430,S00428,Robert Davis,NULL,Warning,Missing department,6492.6,1.8,2021-03-03,F017
433,S00340,Elizabeth Davis,NULL,Warning,Missing department,24624.73,1.73,2020-12-05,F067
434,S00475,Mary Brown,NULL,Warning,Missing department,21213.72,3.1,2021-04-19,F049
440,S00316,Elizabeth Johnson,NULL,Warning,Missing department,17803.36,1.92,2020-11-11,F073
441,S00089,Linda Garcia,History,Critical,Future enrollment date: 2028-05-15,11242.96,2.94,2028-05-15,F014
475,S00294,John Williams,NULL,Warning,Missing department,18516.82,2.43,2020-10-20,F075
483,S00360,James Rodriguez,NULL,Warning,Missing department,11833.49,1.78,2020-12-25,F026
484,S00100,Linda Smith,NULL,Warning,Missing department,11617.79,3.14,2020-04-09,F093
489,S00215,William Miller,NULL,Warning,Missing department,14533.91,2.17,2020-08-02,F073
387,S00301,Robert Smith,Math,Warning,"Extreme tuition outlier (>3 std devs): $950,000.00",950000.0,1.74,2020-10-27,F075
421,S00002,Patricia Smith,CS,Warning,Duplicate student ID (shared with 1 others),21428.81,1.6,2020-01-02,F049
492,S00002,Patricia Smith,CS,Warning,Duplicate student ID (shared with 1 others),21428.81,1.6,2020-01-02,F049
